patt_id,smarts
alpha_terminal,[#8]=[#6](-[#8])-[#6]-[#7H2]
alpha,[#8]=[#6](-[*])-[#6]-[#7]
hpg,[#8H1]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1
decarboxylation,[#7]-[#6]-[#6]=[#7H0]-[*]
hybrid_KS,[#7]-[#6]-[#6](=[#8])-[#6]
hybrid_KS_beta,[#6:6]-[#6:1](-[#6:2]-[#6:3]-[#7:4])=[#8:5]
hybrid_KS_dehydro,[#6]=[#6]-[#6](=[#8])-[#6]
hybrid_KR,[#7]-[#6]-[#6](-[#8])-[#6]
hybrid_KR_beta,[#6:6]-[#6:1](-[#8:7])-[#6:2]-[#6:3]-[#7:4]
hybrid_KR_dehydro,[#6]=[#6]-[#6](-[#8])-[#6]
hybrid_DH,[#7]-[#6]-[#6]=[#6]
hybrid_DH_beta,[#6:6]=[#6:1]-[#6:2]-[#6:3]-[#7:4]
hybrid_DH_dehydro,[#6]=[#6]-[#6]=[#6]
hybrid_ER,[#7]-[#6]-[#6]-[#6]
hybrid_ER_beta,[#7:4]-[#6:3]-[#6:2]-[#6:1]-[#6:6]
hybrid_ER_dehydro,[#6]=[#6]-[#6]-[#6]
hybrid_B1,[#7]-[#6]-[#6](-[#6])=[#6]
hybrid_B1_beta,[#7:4]-[#6:3]-[#6:2]-[#6:1](-[#6:6])=[#6:7]
hybrid_B1_dehydro,[#6]=[#6]-[#6](-[#6])=[#6]
hybrid_B2,[#7]-[#6]-[#6](-[#6])=[#6]
hybrid_B2_beta,[#7:4]-[#6:3]-[#6:2]-[#6:1](-[#6:6])=[#6:7]
hybrid_B2_dehydro,[#6]=[#6]-[#6](-[#6])=[#6]
hybrid_BER,[#7]-[#6]-[#6](-[#6])-[#6]
hybrid_BER_beta,[#7:4]-[#6:3]-[#6:2]-[#6:1](-[#6:6])-[#6:7]
hybrid_BER_dehydro,[#6]=[#6]-[#6](-[#6])-[#6]
aa_azole_starter,[#7]-[#6]-[#6]1-[*]-[#6]-[#6](-[*])-[#7]-1
ca_azole_starter,[#6]-[#6]1-[*]-[#6]-[#6](-[*])-[#7]-1
azole_extender,[*]-[#6]1-[#6]-[*]-[#6](-[#7]-1)-[#6]1-[#7]-[#6](-[*])-[*]-[#6]-1
azole_terminal,[*]-[#6](-[#6]1-[#7]-[#6](-[*])-[*]-[#6]-1)=[#8]
azole_hybrid,[*](-[#6]1-[#7]-[#6](-[*])-[*]-[#6]-1)
pk_azole_starter,[#6]1-[*]-[#6]-[#6](-[*])-[#7]-1
benzene,[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1