reaction_id,reaction_smarts
incorporated,[#8:1]=[#6:2]-[#8H1:3]>>[#8:1]=[#6:2]-[#0:4]
amino_aldehyde,[#8:1]=[#6:2](-[#6:3]-[#7:4])-[#8:5]>>[#8:1]=[#6H:2]-[#6:3]-[#7:4]
alkanolamine,[#8H0:1]=[#6H0:2](-[#0:3])-[#6:4]-[#7:5]>>[#7:5]-[#6:4]-[#6:2]-[#8:3]
hydroxy_acid,[#8H0:1]=[#6H0:2](-[*])-[#6:4]-[#7H2:5]>>[#8:1]=[#6:2](-[*])-[#6:4]-[#8:6]
alpha_cyclo,([#8:1]=[#6:2](-[#0:3])-[#6:4]-[#7:5].[#6:6]-[#7!H0!h0:7])>>[#8:1]=[#6:2](-[#7:7]-[#6:6])-[#6:4]-[#7:5]
beta_cyclo,([#8:1]=[#6:2](-[#0:3])-[#6:4]-[#6:5]-[#7:6].[#6:7]-[#7!H0!h0:8])>>[#8:1]=[#6:2](-[#7:8]-[#6:7])-[#6:4]-[#6:5]-[#7:6]
dehydro,[#8H0:1]=[#6H0:2](-[*:3])-[#6H1^3:4](-[#6!H0!h0^3:5])-[#7:6]>>[#8:1]=[#6:2](-[*:3])-[#6H0^2:4](-[#7:6])=[#6H0^2:5]
dehydro_2,[#8H0:1]=[#6H0:2](-[*:3])-[#6H1^3:4](-[#6!H0!h0^3:5])-[#7:6]>>[#8:1]=[#6:2](-[*:3])-[#6H0^2:4]=[#6H0^2:5]
ketoacid,[#8H0:1]=[#6H0:2](-[#6H1^3:3](-[#6:4])-[#7H2:5])-[*:6]>>[#8:1]=[#6:2](-[#6H0^2:3](-[#6:4])=[#8:5])-[*:6]
decarboxylation,[#7]-[#6:1]-[#6:2](-[#8:3])=[#8:4]>>[#7]-[#6:1]-[#6:2]=[#7H0:5]-[*:6]
imine,[#8:1]=[#6:2](-[#6:3]-[#7:4])-[#8:5]>>[*:6]=[#6:2]-[#6:3]-[#7:4]
hybrid_KS,[#8:1]-[#6:2](-[#6:3]-[#7:4])=[#8:5]>>[#7:4]-[#6:3]-[#6:2](=[#8:5])-[#6:6]
hybrid_KS_beta,[#8]-[#6:1](-[#6:2]-[#6:3]-[#7:4])=[#8:5]>>[#6:6]-[#6:1](-[#6:2]-[#6:3]-[#7:4])=[#8:5]
hybrid_KS_dehydro,[#8:1]-[#6:2](-[#6:3]=[#6:4])=[#8:5]>>[#6:4]=[#6:3]-[#6:2](=[#8:5])-[#6:6]
hybrid_KR,[#8:1]-[#6:2](-[#6:3]-[#7:4])=[#8:5]>>[#7:4]-[#6:3]-[#6:2](-[#8:6])-[#6:7]
hybrid_KR_beta,[#8]-[#6:1](-[#6:2]-[#6:3]-[#7:4])=[#8:5]>>[#6:6]-[#6:1](-[#8:7])-[#6:2]-[#6:3]-[#7:4]
hybrid_KR_dehydro,[#8:1]-[#6:2](-[#6:3]=[#6:4])=[#8:5]>>[#6:4]=[#6:3]-[#6:2](-[#8:6])-[#6:7]
hybrid_DH,[#8:1]-[#6:2](-[#6:3]-[#7:4])=[#8:5]>>[#7:4]-[#6:3]-[#6:2]=[#6:6]
hybrid_DH_beta,[#8]-[#6:1](-[#6:2]-[#6:3]-[#7:4])=[#8:5]>>[#6:6]=[#6:1]-[#6:2]-[#6:3]-[#7:4]
hybrid_DH_dehydro,[#8:1]-[#6:2](-[#6:3]=[#6:4])=[#8:5]>>[#6:4]=[#6:3]-[#6:2]=[#6:6]
hybrid_ER,[#8:1]-[#6:2](-[#6:3]-[#7:4])=[#8:5]>>[#7:4]-[#6:3]-[#6:2]-[#6:6]
hybrid_ER_beta,[#8]-[#6:1](-[#6:2]-[#6:3]-[#7:4])=[#8:5]>>[#7:4]-[#6:3]-[#6:2]-[#6:1]-[#6:6]
hybrid_ER_dehydro,[#8:1]-[#6:2](-[#6:3]=[#6:4])=[#8:5]>>[#6:4]=[#6:3]-[#6:2]-[#6:6]
hybrid_B1,[#8:1]-[#6:2](-[#6:3]-[#7:4])=[#8:5]>>[#7:4]-[#6:3]-[#6:2](-[#6:6])=[#6:7]
hybrid_B1_beta,[#8]-[#6:1](-[#6:2]-[#6:3]-[#7:4])=[#8:5]>>[#7:4]-[#6:3]-[#6:2]-[#6:1](-[#6:6])=[#6:7]
hybrid_B1_dehydro,[#8:1]-[#6:2](-[#6:3]=[#6:4])=[#8:5]>>[#6:4]=[#6:3]-[#6:2](-[#6:6])=[#6:7]
hybrid_B2,[#8:1]-[#6:2](-[#6:3]-[#7:4])=[#8:5]>>[#7:4]-[#6:3]-[#6:2](-[#6:6])=[#6:7]
hybrid_B2_beta,[#8]-[#6:1](-[#6:2]-[#6:3]-[#7:4])=[#8:5]>>[#7:4]-[#6:3]-[#6:2]-[#6:1](-[#6:6])=[#6:7]
hybrid_B2_dehydro,[#8:1]-[#6:2](-[#6:3]=[#6:4])=[#8:5]>>[#6:4]=[#6:3]-[#6:2](-[#6:6])=[#6:7]
hybrid_BER,[#8:1]-[#6:2](-[#6:3]-[#7:4])=[#8:5]>>[#7:4]-[#6:3]-[#6:2](-[#6:6])-[#6:7]
hybrid_BER_beta,[#8]-[#6:1](-[#6:2]-[#6:3]-[#7:4])=[#8:5]>>[#7:4]-[#6:3]-[#6:2]-[#6:1](-[#6:6])-[#6:7]
hybrid_BER_dehydro,[#8:1]-[#6:2](-[#6:3]=[#6:4])=[#8:5]>>[#6:4]=[#6:3]-[#6:2](-[#6:6])-[#6:7]
aa_azole_starter,[#7:1]-[#6:2]-[#6:3](-[#8H1:4])=[#8:5]>>[#7:1]-[#6:2]-[#6:3]1-[#0:6]-[#6:7]-[#6:8](-[#0:10])-[#7:9]-1
ca_azole_starter,[#6:2]-[#6:3](-[#8:4])=[#8:5]>>[#6:2]-[#6:3]1-[#0:6]-[#6:7]-[#6:8](-[#0:10])-[#7:9]-1
azole_extender,[#8:1]=[#6:2](-[#6H1:3](-[#6!H0!h0:4]-[*H1:5])-[#7!H0!h0:6])-[#8:7]>>[#0:10]-[#6:11]1-[#6:12]-[#0:13]-[#6:2](-[#7:14]-1)-[#6:3]1-[#7:6]-[#6:8](-[#0:9])-[#0:5]-[#6:4]-1
azole_terminal,[#8:1]=[#6:2](-[#6H1:3](-[#6!H0!h0:4]-[*H1:5])-[#7!H0!h0:6])-[#8:7]>>[#0:10]-[#6:2](-[#6:3]1-[#7:6]-[#6:8](-[#0:9])-[#0:5]-[#6:4]-1)=[#8:1]
azole_hybrid,[#8:1]=[#6:2](-[#6H1:3](-[#6!H0!h0:4]-[*H1:5])-[#7!H0!h0:6])-[#8:7]>>[*:10](-[#6:3]1-[#7:6]-[#6:8](-[#0:9])-[#0:5]-[#6:4]-1)
pk_azole_starter,[#8:1]=[#6:2]-[#16]>>[#6:2]1-[#0:4]-[#6:5]-[#6:6](-[#0:7])-[#7:8]-1