reaction_id,smarts,bonds,bond_descriptor,other_versions
C1-KS-R1,[#0]/[#6]=[13#6](-[#6](/[#6]=[#8])=[#6]/[#8])\[#0],"['0-1', '1-2', '2-3', '3-6']",:,['C1-KS-R1-v2']
C1-KR-I2,[#0]/[#6]=[13#6H]/[#0],"['0-1', '1-2', '2-3']",:,['C1-KR-I2-v2']
C1-KS-A3,[*]-[#6](/[#6]=[#6]\[#6])=[13#6](\[#8])-[*],"['1-2', '2-3', '3-4', '1-5', '5-7']",:,[]
C2-KR-A1,[#0]/[#6]=[#6](/[#0])-[#8]-[#6]=[#8],"['0-1', '1-2', '2-4', '4-5']",:,['C2-KR-A1-v2']
C2-KS-R2,[#8]/[#6](-[#0])=[#6]/[#6](-[#8]-[#6])=[#8],"['1-2', '1-3', '3-4', '4-5', '5-6']",:,['C2-KS-R2-v2']
C3-KS-A1,[#6]/[#6](-[#8])=[#6]\[#6]=[#6](\[#0])-[#6]=[#8],"['0-1', '1-3', '3-4', '4-5', '5-6']",:,[]
C3-KR-I2,[#6]=[#6]-[#0],"['0-1', '1-2']",:,['C3-KR-I2-v2']
C3-KS-R3,[#6]/[#6]=[#6](\[#6]=[#6](/[#0])-[#8])-[#8],"['0-1', '1-2', '2-3', '3-4', '4-5']",:,['C3-KS-R3-v2']
C7-TE-R,[#8]=[#6](-[#0])/[#6]=[#6]/[#0],"['1-2', '1-3', '3-4', '4-5']",:,[]
C7-KS-A1,[#0]/[#6:1]=[#6:3]\\[#8:4]-[#0],"['0-1', '1-2', '2-3', '3-4']",:,['C7-KS-A1-v2']