word,index
[UNK],0
[MASK],1
[MOL],2
[RXN],3
*-UNSPECIFIED--1-CHI_UNSPECIFIED-False,6
*-UNSPECIFIED-0-CHI_UNSPECIFIED-False,7
*-UNSPECIFIED-1-CHI_UNSPECIFIED-False,8
*-UNSPECIFIED-2-CHI_UNSPECIFIED-False,9
*-UNSPECIFIED-3-CHI_UNSPECIFIED-False,10
Ag-SP3D-1-CHI_UNSPECIFIED-False,11
Al-S-2-CHI_UNSPECIFIED-False,12
Al-S-3-CHI_UNSPECIFIED-False,13
Al-SP-1-CHI_UNSPECIFIED-False,14
Al-SP2-0-CHI_UNSPECIFIED-False,15
Al-SP3--1-CHI_UNSPECIFIED-False,16
Al-SP3-4-CHI_UNSPECIFIED-False,17
Ar-SP3-0-CHI_UNSPECIFIED-False,18
As-SP3-0-CHI_UNSPECIFIED-False,19
As-SP3-1-CHI_UNSPECIFIED-False,20
As-SP3D--1-CHI_UNSPECIFIED-False,21
Au-SP3D-1-CHI_UNSPECIFIED-False,22
B-S-0-CHI_UNSPECIFIED-False,23
B-S-3-CHI_UNSPECIFIED-False,24
B-SP-0-CHI_UNSPECIFIED-False,25
B-SP-0-CHI_UNSPECIFIED-True,26
B-SP2-0-CHI_UNSPECIFIED-False,27
B-SP3--1-CHI_TETRAHEDRAL_CW-False,28
B-SP3--1-CHI_UNSPECIFIED-False,29
Ba-S-2-CHI_UNSPECIFIED-False,30
Be-S-2-CHI_UNSPECIFIED-False,31
Bi-SP-3-CHI_UNSPECIFIED-False,32
Bi-SP2-2-CHI_UNSPECIFIED-False,33
Bi-SP3-0-CHI_UNSPECIFIED-False,34
Br-SP3--1-CHI_UNSPECIFIED-False,35
Br-SP3-0-CHI_UNSPECIFIED-False,36
Br-SP3-1-CHI_UNSPECIFIED-False,37
Br-SP3-2-CHI_UNSPECIFIED-False,38
C-S-1-CHI_UNSPECIFIED-False,39
C-S-4-CHI_UNSPECIFIED-False,40
C-SP--1-CHI_UNSPECIFIED-False,41
C-SP-0-CHI_UNSPECIFIED-False,42
C-SP-0-CHI_UNSPECIFIED-True,43
C-SP-1-CHI_UNSPECIFIED-False,44
C-SP-2-CHI_UNSPECIFIED-False,45
C-SP2--1-CHI_UNSPECIFIED-False,46
C-SP2--1-CHI_UNSPECIFIED-True,47
C-SP2--2-CHI_UNSPECIFIED-False,48
C-SP2--2-CHI_UNSPECIFIED-True,49
C-SP2-0-CHI_UNSPECIFIED-False,50
C-SP2-0-CHI_UNSPECIFIED-True,51
C-SP2-1-CHI_UNSPECIFIED-False,52
C-SP2-2-CHI_UNSPECIFIED-False,53
C-SP2-3-CHI_UNSPECIFIED-False,54
C-SP3--1-CHI_UNSPECIFIED-False,55
C-SP3-0-CHI_TETRAHEDRAL_CCW-False,56
C-SP3-0-CHI_TETRAHEDRAL_CW-False,57
C-SP3-0-CHI_UNSPECIFIED-False,58
C-SP3-1-CHI_UNSPECIFIED-False,59
C-SP3-3-CHI_UNSPECIFIED-False,60
Ca-S-2-CHI_UNSPECIFIED-False,61
Ca-SP-0-CHI_UNSPECIFIED-False,62
Cd-S-2-CHI_UNSPECIFIED-False,63
Cd-SP-0-CHI_UNSPECIFIED-False,64
Ce-S-3-CHI_UNSPECIFIED-False,65
Ce-S-4-CHI_UNSPECIFIED-False,66
Ce-SP-0-CHI_UNSPECIFIED-False,67
Ce-SP2-0-CHI_UNSPECIFIED-False,68
Cl-SP3--1-CHI_UNSPECIFIED-False,69
Cl-SP3-0-CHI_UNSPECIFIED-False,70
Cl-SP3-1-CHI_UNSPECIFIED-False,71
Cl-SP3-2-CHI_UNSPECIFIED-False,72
Cl-SP3-3-CHI_UNSPECIFIED-False,73
Co-SP-6-CHI_UNSPECIFIED-False,74
Co-SP2-3-CHI_UNSPECIFIED-False,75
Co-SP2-4-CHI_UNSPECIFIED-False,76
Co-SP3-1-CHI_UNSPECIFIED-False,77
Co-SP3-2-CHI_UNSPECIFIED-False,78
Co-SP3D-0-CHI_UNSPECIFIED-False,79
Co-SP3D-1-CHI_UNSPECIFIED-False,80
Co-UNSPECIFIED--2-CHI_UNSPECIFIED-False,81
Cr-S-4-CHI_UNSPECIFIED-False,82
Cr-S-5-CHI_UNSPECIFIED-False,83
Cr-S-6-CHI_UNSPECIFIED-False,84
Cs-S-0-CHI_UNSPECIFIED-False,85
Cs-S-1-CHI_UNSPECIFIED-False,86
Cu-SP3-2-CHI_UNSPECIFIED-False,87
Cu-SP3-3-CHI_UNSPECIFIED-False,88
Cu-SP3-4-CHI_UNSPECIFIED-False,89
Cu-SP3D-0-CHI_UNSPECIFIED-False,90
Cu-SP3D-1-CHI_UNSPECIFIED-False,91
Cu-SP3D2-1-CHI_UNSPECIFIED-False,92
Cu-SP3D2-2-CHI_UNSPECIFIED-False,93
Cu-UNSPECIFIED-1-CHI_UNSPECIFIED-False,94
Dy-SP3-3-CHI_UNSPECIFIED-False,95
Eu-SP-3-CHI_UNSPECIFIED-False,96
F-SP3--1-CHI_UNSPECIFIED-False,97
F-SP3-0-CHI_UNSPECIFIED-False,98
Fe-S-6-CHI_UNSPECIFIED-False,99
Fe-S-7-CHI_UNSPECIFIED-False,100
Fe-S-8-CHI_UNSPECIFIED-False,101
Fe-S-9-CHI_UNSPECIFIED-False,102
Fe-SP-4-CHI_UNSPECIFIED-False,103
Fe-SP-5-CHI_UNSPECIFIED-False,104
Fe-SP-6-CHI_UNSPECIFIED-False,105
Fe-SP2-2-CHI_UNSPECIFIED-False,106
Fe-SP2-3-CHI_UNSPECIFIED-False,107
Fe-SP2-4-CHI_UNSPECIFIED-False,108
Fe-SP2-5-CHI_UNSPECIFIED-False,109
Fe-SP3-0-CHI_UNSPECIFIED-False,110
Fe-SP3-1-CHI_UNSPECIFIED-False,111
Fe-SP3-2-CHI_UNSPECIFIED-False,112
Fe-SP3-3-CHI_UNSPECIFIED-False,113
Fe-SP3D-0-CHI_UNSPECIFIED-False,114
Fe-SP3D-1-CHI_UNSPECIFIED-False,115
Fe-SP3D-2-CHI_UNSPECIFIED-False,116
Fe-SP3D2-0-CHI_UNSPECIFIED-False,117
Fe-SP3D2-1-CHI_UNSPECIFIED-False,118
Fe-SP3D2-2-CHI_UNSPECIFIED-False,119
Fe-UNSPECIFIED--3-CHI_UNSPECIFIED-False,120
Fe-UNSPECIFIED-0-CHI_UNSPECIFIED-False,121
Fe-UNSPECIFIED-13-CHI_UNSPECIFIED-False,122
Ge-SP3-0-CHI_UNSPECIFIED-False,123
H-S--1-CHI_UNSPECIFIED-False,124
H-S-0-CHI_UNSPECIFIED-False,125
H-S-1-CHI_UNSPECIFIED-False,126
Hg-S-2-CHI_UNSPECIFIED-False,127
Ho-SP3D-0-CHI_UNSPECIFIED-False,128
I-SP3--1-CHI_UNSPECIFIED-False,129
I-SP3-0-CHI_UNSPECIFIED-False,130
I-SP3-1-CHI_UNSPECIFIED-False,131
I-SP3-2-CHI_UNSPECIFIED-False,132
I-SP3-3-CHI_UNSPECIFIED-False,133
I-SP3D-0-CHI_UNSPECIFIED-False,134
I-SP3D2--1-CHI_UNSPECIFIED-False,135
I-SP3D2-0-CHI_UNSPECIFIED-False,136
I-SP3D2-1-CHI_UNSPECIFIED-False,137
In-S-2-CHI_UNSPECIFIED-False,138
In-S-3-CHI_UNSPECIFIED-False,139
In-SP-0-CHI_UNSPECIFIED-False,140
In-SP2-0-CHI_UNSPECIFIED-False,141
K-S-0-CHI_UNSPECIFIED-False,142
K-S-1-CHI_UNSPECIFIED-False,143
La-S-3-CHI_UNSPECIFIED-False,144
Li-S-0-CHI_UNSPECIFIED-False,145
Li-S-1-CHI_UNSPECIFIED-False,146
Mg-S-1-CHI_UNSPECIFIED-False,147
Mg-S-2-CHI_UNSPECIFIED-False,148
Mg-SP-0-CHI_UNSPECIFIED-False,149
Mn-S-6-CHI_UNSPECIFIED-False,150
Mn-S-7-CHI_UNSPECIFIED-False,151
Mn-SP-3-CHI_UNSPECIFIED-False,152
Mn-SP2-2-CHI_UNSPECIFIED-False,153
Mo-S-5-CHI_UNSPECIFIED-False,154
Mo-S-6-CHI_UNSPECIFIED-False,155
N-SP-0-CHI_UNSPECIFIED-False,156
N-SP-1-CHI_UNSPECIFIED-False,157
N-SP-2-CHI_UNSPECIFIED-False,158
N-SP-3-CHI_UNSPECIFIED-False,159
N-SP2--1-CHI_UNSPECIFIED-False,160
N-SP2--1-CHI_UNSPECIFIED-True,161
N-SP2--2-CHI_UNSPECIFIED-False,162
N-SP2-0-CHI_UNSPECIFIED-False,163
N-SP2-0-CHI_UNSPECIFIED-True,164
N-SP2-1-CHI_UNSPECIFIED-False,165
N-SP2-1-CHI_UNSPECIFIED-True,166
N-SP2-2-CHI_UNSPECIFIED-False,167
N-SP3--1-CHI_UNSPECIFIED-False,168
N-SP3-0-CHI_TETRAHEDRAL_CCW-False,169
N-SP3-0-CHI_TETRAHEDRAL_CW-False,170
N-SP3-0-CHI_UNSPECIFIED-False,171
N-SP3-1-CHI_TETRAHEDRAL_CCW-False,172
N-SP3-1-CHI_TETRAHEDRAL_CW-False,173
N-SP3-1-CHI_UNSPECIFIED-False,174
N-SP3-2-CHI_UNSPECIFIED-False,175
Na-S-0-CHI_UNSPECIFIED-False,176
Na-S-1-CHI_UNSPECIFIED-False,177
Nd-S-3-CHI_UNSPECIFIED-False,178
Ni-SP3-1-CHI_UNSPECIFIED-False,179
Ni-SP3-2-CHI_UNSPECIFIED-False,180
Ni-SP3D-1-CHI_UNSPECIFIED-False,181
O-SP-1-CHI_UNSPECIFIED-False,182
O-SP-2-CHI_UNSPECIFIED-False,183
O-SP2--1-CHI_UNSPECIFIED-False,184
O-SP2-0-CHI_UNSPECIFIED-False,185
O-SP2-0-CHI_UNSPECIFIED-True,186
O-SP2-1-CHI_UNSPECIFIED-False,187
O-SP2-1-CHI_UNSPECIFIED-True,188
O-SP3--1-CHI_UNSPECIFIED-False,189
O-SP3--2-CHI_UNSPECIFIED-False,190
O-SP3-0-CHI_UNSPECIFIED-False,191
O-SP3-1-CHI_UNSPECIFIED-False,192
P-S-3-CHI_UNSPECIFIED-False,193
P-S-5-CHI_UNSPECIFIED-False,194
P-SP-1-CHI_UNSPECIFIED-False,195
P-SP-3-CHI_UNSPECIFIED-False,196
P-SP2-0-CHI_UNSPECIFIED-False,197
P-SP2-0-CHI_UNSPECIFIED-True,198
P-SP2-1-CHI_UNSPECIFIED-False,199
P-SP3--1-CHI_UNSPECIFIED-False,200
P-SP3-0-CHI_TETRAHEDRAL_CCW-False,201
P-SP3-0-CHI_TETRAHEDRAL_CW-False,202
P-SP3-0-CHI_UNSPECIFIED-False,203
P-SP3-1-CHI_UNSPECIFIED-False,204
P-SP3D--1-CHI_UNSPECIFIED-False,205
P-SP3D-0-CHI_UNSPECIFIED-False,206
P-SP3D2--1-CHI_UNSPECIFIED-False,207
Pb-S-4-CHI_UNSPECIFIED-False,208
Pb-SP3-0-CHI_UNSPECIFIED-False,209
Pr-S-3-CHI_UNSPECIFIED-False,210
Pt-SP2-4-CHI_UNSPECIFIED-False,211
Pt-SP3-2-CHI_UNSPECIFIED-False,212
Rb-S-1-CHI_UNSPECIFIED-False,213
Ru-S-6-CHI_UNSPECIFIED-False,214
Ru-S-7-CHI_UNSPECIFIED-False,215
Ru-S-8-CHI_UNSPECIFIED-False,216
Ru-S-9-CHI_UNSPECIFIED-False,217
Ru-SP2-2-CHI_UNSPECIFIED-False,218
Ru-SP2-3-CHI_UNSPECIFIED-False,219
Ru-SP3D2-2-CHI_UNSPECIFIED-False,220
S-SP-5-CHI_UNSPECIFIED-False,221
S-SP2--1-CHI_UNSPECIFIED-False,222
S-SP2-0-CHI_UNSPECIFIED-False,223
S-SP2-0-CHI_UNSPECIFIED-True,224
S-SP2-1-CHI_UNSPECIFIED-False,225
S-SP2-1-CHI_UNSPECIFIED-True,226
S-SP3--1-CHI_UNSPECIFIED-False,227
S-SP3--2-CHI_UNSPECIFIED-False,228
S-SP3-0-CHI_TETRAHEDRAL_CCW-False,229
S-SP3-0-CHI_TETRAHEDRAL_CW-False,230
S-SP3-0-CHI_UNSPECIFIED-False,231
S-SP3-1-CHI_TETRAHEDRAL_CCW-False,232
S-SP3-1-CHI_TETRAHEDRAL_CW-False,233
S-SP3-1-CHI_UNSPECIFIED-False,234
S-SP3-2-CHI_UNSPECIFIED-False,235
S-SP3D--1-CHI_UNSPECIFIED-False,236
S-SP3D--2-CHI_UNSPECIFIED-False,237
S-SP3D--3-CHI_UNSPECIFIED-False,238
S-SP3D--4-CHI_UNSPECIFIED-False,239
S-SP3D-0-CHI_UNSPECIFIED-False,240
S-SP3D2-0-CHI_UNSPECIFIED-False,241
Sb-SP3-0-CHI_UNSPECIFIED-False,242
Sb-SP3D--2-CHI_UNSPECIFIED-False,243
Sb-SP3D-0-CHI_UNSPECIFIED-False,244
Sb-SP3D2--1-CHI_UNSPECIFIED-False,245
Se-SP2-0-CHI_UNSPECIFIED-False,246
Se-SP2-0-CHI_UNSPECIFIED-True,247
Se-SP2-1-CHI_UNSPECIFIED-True,248
Se-SP3--2-CHI_UNSPECIFIED-False,249
Se-SP3-0-CHI_UNSPECIFIED-False,250
Se-SP3-1-CHI_UNSPECIFIED-False,251
Se-SP3D--1-CHI_UNSPECIFIED-False,252
Se-SP3D-0-CHI_UNSPECIFIED-False,253
Si-S-1-CHI_UNSPECIFIED-False,254
Si-SP-0-CHI_UNSPECIFIED-False,255
Si-SP2-0-CHI_UNSPECIFIED-False,256
Si-SP3-0-CHI_TETRAHEDRAL_CCW-False,257
Si-SP3-0-CHI_UNSPECIFIED-False,258
Si-SP3D--1-CHI_UNSPECIFIED-False,259
Sm-SP-3-CHI_UNSPECIFIED-False,260
Sm-SP2-0-CHI_UNSPECIFIED-False,261
Sn-S-3-CHI_UNSPECIFIED-False,262
Sn-S-4-CHI_UNSPECIFIED-False,263
Sn-SP-2-CHI_UNSPECIFIED-False,264
Sn-SP2-0-CHI_UNSPECIFIED-False,265
Sn-SP2-1-CHI_UNSPECIFIED-False,266
Sn-SP3-0-CHI_UNSPECIFIED-False,267
Sn-SP3-6-CHI_UNSPECIFIED-False,268
Sr-S-2-CHI_UNSPECIFIED-False,269
Te-SP3-0-CHI_UNSPECIFIED-False,270
Te-SP3-1-CHI_UNSPECIFIED-False,271
Tl-S-3-CHI_UNSPECIFIED-False,272
Tl-SP-1-CHI_UNSPECIFIED-False,273
U-S-0-CHI_UNSPECIFIED-False,274
V-S-4-CHI_UNSPECIFIED-False,275
V-S-5-CHI_UNSPECIFIED-False,276
V-SP-2-CHI_UNSPECIFIED-False,277
V-SP2-0-CHI_UNSPECIFIED-False,278
W-S-5-CHI_UNSPECIFIED-False,279
W-S-6-CHI_UNSPECIFIED-False,280
W-SP2-0-CHI_UNSPECIFIED-False,281
W-UNSPECIFIED-8-CHI_UNSPECIFIED-False,282
Yb-SP3D-3-CHI_UNSPECIFIED-False,283
Yb-UNSPECIFIED-0-CHI_UNSPECIFIED-False,284
Zn-S-0-CHI_UNSPECIFIED-False,285
Zn-S-2-CHI_UNSPECIFIED-False,286
Zn-SP-0-CHI_UNSPECIFIED-False,287
Zn-SP-2-CHI_UNSPECIFIED-False,288
Zr-SP-0-CHI_UNSPECIFIED-False,289
Zr-SP-1-CHI_UNSPECIFIED-False,290
Zr-SP2-0-CHI_UNSPECIFIED-False,291
